nome,endereco,cidade,telefone,lat,lng
POTENCIAL BAR,RUA 10 Q24 LT01,GURUPI,063-99272-6390,-10.715625,-48.104023
MARQUINHOS BAR,53A QD 54 LT 06,GURUPI,063-99279-0642,-10.717808,-48.094395
COMERCIAL PAG MENOS,DUERE QD 03 LT 19,GURUPI,063-98467-7542,-10.71399,-48.095753
MERC DO ROBINHO,PERIMENTRAL LESTE QD K LT 10 CAIXA 01,GURUPI,063-99213-8022,-10.712168,-48.085022
BAR CANTINHO DAS CEI,DUERE QD06 LT29,GURUPI,063-99242-4828,-10.713556,-48.09704
BAR DO PAJE,RUA E QD04 LT 25,GURUPI,063-99274-2865,-10.713463,-48.09617
DIST DE BEB S HELENA,D,GURUPI,063-99111-0766,-10.715469,-48.085506
MINI BOX PERES,112 QD 31 LT01,GURUPI,063-98484-6043,-10.721497,-48.095947
SUPERME COMPRE MAIS,AV DUERE,GURUPI,063-99285-9310,-10.715448,-48.0906
CACHASSA AMUADA,A 164 QD 03 LT 1 CX 2 ESQ C,GURUPI,063-99320-3213,-10.71196,-48.09516
TEND TUDO RJ,AVENIDA CONTORNO QD 27 LOTE 3,GURUPI,063-99834-9725,-10.723068,-48.10016
DIST OLIVEIRA     01,CONTORNO Q 44 L 37,GURUPI,063-98432-7187,-10.722127,-48.10031
COMERCI AGUAS CLARAS,SENADOR BENEDITO BOA SOTE Q 14 LOTE 31,GURUPI,063-98414-8080,-10.714785,-48.10395
PEG PAG BARBOSA   01,DUERE QUADRA 06 LOTE 34,GURUPI,063-99218-0653,-10.713744,-48.09651
DISTRIB JOAO LISBOA,ALBERY ARRUDA Q D LOTE 26,GURUPI,063-99225-9215,-10.71073,-48.093601
MERCADO SILVA,33 QD F LT 16,GURUPI,063-98487-3309,-10.712323,-48.089876
DISTRIBUIDORA AZEVED,J,GURUPI,063-99236-2589,-10.71244,-48.0837
ADEGA DISTRIBUIDORA,DUERE 00 QD 08 LT 18,GURUPI,063-98487-3309,-10.715206,-48.087257
SUPERMERCADO ESTRE01,DUERE SN QD1 LT8,GURUPI,063-98458-4354,-10.714334,-48.094558
GARAGEM BEB EM GERAL,41 SN QD QR 3,GURUPI,063-99286-4494,-10.711555,-48.109972
BAR DA GORDINHA,03 14 QD 19 LT 12,GURUPI,063-99211-7376,-10.714214,-48.101213
PRIME BEBIDAS,110 QD 29 LT 7,GURUPI,063-99215-8889,-10.719912,-48.097382
BARATAO SUPERMERCA02,DUERE SN QD 3 LT 19,GURUPI,063-99102-2152,-10.713963,-48.095746
NOSSO LAR         01,DUERE N 0 QD 13 L 13,GURUPI,063-98117-6901,-10.715546,-48.084213
P DE MOLAS NOV OPCAO,38 QD 32 LT 23,GURUPI,063-99220-1412,-10.710774,-48.110746
EMPORIO DAS BEBIDA,CASTELO BRANCO Q 13 LT 12,GURUPI,063-99222-7222,-10.0,-48.0
SUPERMERCA PAULICEIA,19 QD 04 LT 07,GURUPI,063-03313-1720,-10.718213,-48.083176
BAR DO LEONAM,S 007,GURUPI,063-98471-4667,-10.72651,-48.092255
BEBIDAS BOM PRECO,S 15 QD 69 LT 05,GURUPI,063-98125-5605,-10.729178,-48.09243
BAR JR            01,S 13 QD 60 LT 09,GURUPI,063-98494-0102,-10.728811,-48.094193
BAR SANTA LUZIA   01,PERIMETRAL SUL QD 04 LT 15,GURUPI,063-98438-2175,-10.717678,-48.08697
BAR ARCO IRIS     01,PERIMETRAL OESTE SUL QD 04 LT 21,GURUPI,063-99212-5086,-10.717593,-48.087658
MERCADINHO NOVO LAR,C QD 13 LT 13,GURUPI,063-03313-1681,-10.715574,-48.083824
MERCEARIA MARQUES 03,S 05 QD 27 LT 05,GURUPI,063-99110-9018,-10.725923,-48.096397
BUTECO MARANHENSE,S 5 SN QD 22 LOTE 09,GURUPI,063-98144-5550,-10.725896,-48.09097
BAR DO CEARA      03,PERIMETRAL OESTE,GURUPI,063-98512-3473,-10.715471,-48.0811
MERCEARIA RIBEIRO 05,PERIMETRAL SUL QD 04 LT 20,GURUPI,063-98436-0352,-10.717668,-48.087547
CONVENIENCIA SANTANA,8 QD 11 LOTE 06,GURUPI,063-98474-5411,-10.727354,-48.08628
DIST TROPICAL,HORACIO J LEMOS QD17 LT 10,GURUPI,063-99311-8505,-10.73039,-48.095272
SUPERMERCA DAMACENO,D QD 02 LT 02,GURUPI,063-98437-7707,-10.717388,-48.08526
COMERCIAL TORRES,109,GURUPI,063-98453-4878,-10.723927,-48.09549
CERVEJA EM PE,S15 QD 41 LT 07,GURUPI,063-98482-7440,-10.729698,-48.09499
CONVENIENCIA L8,AV DUERE QD8 LT4 SALA A,GURUPI,063-99200-8884,-10.715747,-48.083984
C QUE BEBE BAR,C SN 0 26 QD 2 LOTE 1,GURUPI,063-03313-3824,-10.715656,-48.081112
MINI MERC PEDRINHO,106 QUADRA 14 LOTE 06,GURUPI,063-98487-4261,-10.723858,-48.094734
SANTA GRELHA      01,S 015 QD 69 LOTE 08,GURUPI,063-98463-6087,-10.729225,-48.092766
CSA DE CARNE B GORDO,S 015 N 364 QD67 LT 08,GURUPI,063-99231-1430,-10.728881,-48.090413
CSA DA GELADA DIST,2 QD 01 LOTE 8,GURUPI,063-99209-6139,-10.728688,-48.086514
REST E PEST ANGELA,SERGIPE,GURUPI,063-98400-1010,-10.727469,-48.086433
SIRLENE RODRIGUES,7 QUADRA 11 LOTE 10,GURUPI,063-99246-3561,-10.728563,-48.08657
EMPORIO DISTRIBUID01,ANTONIO NUNES DA SILVA Q 02 LOTE 07,GURUPI,063-99228-3378,-10.728682,-48.089168
DIST IMPERIO DO ESPE,DUERE,GURUPI,063-99297-8680,-10.715567,-48.082868
SEDE ZERO         01,S 15,GURUPI,063-99218-8373,-10.729318,-48.093297
ADEGA DO MORCEGO,S1 QD 5 LT 09,GURUPI,063-98124-6764,-10.724544,-48.090961
PARRILLA GRILL,BELA VISTA N 450 QD 4 LT 1,GURUPI,063-99224-2328,-10.718988,-48.083987
EMPORIO DA BREJA  04,36 SN QD 02 LT 18,GURUPI,062-99391-9601,-10.717651,-48.089507
EMPORIO 39,BELA VISTA QD 3 LT 15,GURUPI,063-99202-2415,-10.71904,-48.083939
RESTAURANTE DA MAR01,PERIMENTAL SUL SN QD1,GURUPI,063-99122-8072,-10.717652,-48.088057
PANIFICADOR CLARISSY,FRANCISCO AIRES NEGRI LT 03 QD 06,BREJINHO DE NAZARE,063-85503-8010,-10.018423,-48.568897
RODOVIARIA BREJINHO,BOA VISTA,BREJINHO DE NAZARE,063-98410-0422,-10.014815,-48.563923
SUPERMERCADO KOIOTE,JK SN,BREJINHO DE NAZARE,063-99209-2398,-10.018843,-48.568035
PONTO DO ESPETO   02,AVENIDA JK SN QD 23 LOTE 03,BREJINHO DE NAZARE,063-98505-1350,-10.019111,-48.568165
BAR NF,AV ADAO PARENTE QD47 LT 9,BREJINHO DE NAZARE,063-98425-0188,-10.020895,-48.57747
SUPERMERCAD ARAGUAIA,ARAGUAIA,BREJINHO DE NAZARE,063-93900-7942,-10.017324,-48.565132
PANIFICADORA REBECA,25 DE AGOSTO S/NUMERO AO LADO SUP AMAZON,BREJINHO DE NAZARE,063-98463-6458,-10.017941,-48.565205
